exp;success;longest_path;time
pyramid_range3_3d_agents10_19;1;20;0.05
pyramid_range3_3d_agents10_17;1;13;0.03
pyramid_range3_3d_agents10_4;1;23;0.03
pyramid_range3_3d_agents10_3;1;11;0.03
pyramid_range3_3d_agents10_8;1;18;0.03
pyramid_range3_3d_agents10_9;1;17;0.03
pyramid_range3_3d_agents10_14;1;31;0.03
pyramid_range3_3d_agents10_13;0;0;59.92
pyramid_range3_3d_agents10_5;1;9;0.02
pyramid_range3_3d_agents10_2;1;10;0.75
pyramid_range3_3d_agents10_11;1;18;0.09
pyramid_range3_3d_agents10_15;1;33;0.03
pyramid_range3_3d_agents10_18;1;15;0.03
pyramid_range3_3d_agents10_12;1;11;0.03
pyramid_range3_3d_agents10_6;1;19;0.03
pyramid_range3_3d_agents10_7;0;0;63.25
pyramid_range3_3d_agents10_10;1;22;0.03
pyramid_range3_3d_agents10_0;1;23;0.03
pyramid_range3_3d_agents10_16;1;30;0.05
pyramid_range3_3d_agents10_1;1;22;0.03
