exp;success;longest_path;time
offices_range1_agents60_7;1;1844;37.79
offices_range1_agents60_6;1;319;2.91
offices_range1_agents60_5;1;274;4.96
offices_range1_agents60_11;1;1005;19.53
offices_range1_agents60_8;1;426;6.88
offices_range1_agents60_4;1;516;13.41
offices_range1_agents60_2;1;1572;45.6
offices_range1_agents60_14;1;1050;26.42
offices_range1_agents60_0;1;596;11.02
offices_range1_agents60_13;1;922;29.31
offices_range1_agents60_16;1;750;17.59
offices_range1_agents60_3;1;1444;23.57
offices_range1_agents60_17;0;0;95.65
offices_range1_agents60_10;1;634;11.35
offices_range1_agents60_9;1;858;14.67
offices_range1_agents60_19;1;551;8.93
offices_range1_agents60_1;1;2222;41.82
offices_range1_agents60_12;1;956;20.47
offices_range1_agents60_18;0;0;118.48
offices_range1_agents60_15;1;1414;26.01
