exp;success;longest_path;time
offices_range1_agents50_5;1;1240;10.84
offices_range1_agents50_12;1;544;7.99
offices_range1_agents50_9;1;1136;11.1
offices_range1_agents50_18;1;281;2.73
offices_range1_agents50_10;1;852;14.93
offices_range1_agents50_1;1;1883;20.36
offices_range1_agents50_19;1;5806;78.0
offices_range1_agents50_8;1;2598;60.27
offices_range1_agents50_0;1;1136;15.69
offices_range1_agents50_16;0;0;116.04
offices_range1_agents50_13;1;689;7.35
offices_range1_agents50_17;1;538;5.64
offices_range1_agents50_11;1;430;5.12
offices_range1_agents50_15;1;879;11.33
offices_range1_agents50_14;1;2287;36.63
offices_range1_agents50_3;1;397;6.76
offices_range1_agents50_6;1;265;2.35
offices_range1_agents50_7;1;1017;9.16
offices_range1_agents50_2;1;820;22.56
offices_range1_agents50_4;1;1701;12.58
