exp;success;longest_path;time
small_obstacles_range3_3d_agents50_7;1;771;115.39
small_obstacles_range3_3d_agents50_5;1;522;26.89
small_obstacles_range3_3d_agents50_8;0;0;119.02
small_obstacles_range3_3d_agents50_9;0;0;118.67
small_obstacles_range3_3d_agents50_16;1;513;91.76
small_obstacles_range3_3d_agents50_2;1;540;63.27
small_obstacles_range3_3d_agents50_13;0;0;119.08
small_obstacles_range3_3d_agents50_3;0;0;118.82
small_obstacles_range3_3d_agents50_11;1;339;44.08
small_obstacles_range3_3d_agents50_15;1;302;52.45
small_obstacles_range3_3d_agents50_17;0;0;119.08
small_obstacles_range3_3d_agents50_12;1;127;25.64
small_obstacles_range3_3d_agents50_6;1;373;23.56
small_obstacles_range3_3d_agents50_0;1;80;15.44
small_obstacles_range3_3d_agents50_10;1;505;84.47
small_obstacles_range3_3d_agents50_14;1;334;34.6
small_obstacles_range3_3d_agents50_18;1;148;24.86
small_obstacles_range3_3d_agents50_4;1;314;14.06
small_obstacles_range3_3d_agents50_19;1;366;35.56
small_obstacles_range3_3d_agents50_1;1;262;32.72
