exp;success;longest_path;time
parallel_range4_agents30_8;1;477;7.12
parallel_range4_agents30_3;1;227;1.26
parallel_range4_agents30_5;1;398;2.22
parallel_range4_agents30_6;1;125;1.36
parallel_range4_agents30_0;1;82;0.75
parallel_range4_agents30_11;1;218;1.66
parallel_range4_agents30_13;1;92;0.86
parallel_range4_agents30_7;1;80;0.63
parallel_range4_agents30_1;1;87;0.57
parallel_range4_agents30_2;1;937;37.46
parallel_range4_agents30_4;1;127;1.55
parallel_range4_agents30_9;1;85;0.64
parallel_range4_agents30_12;1;183;1.22
parallel_range4_agents30_17;1;221;1.55
parallel_range4_agents30_19;1;398;3.76
parallel_range4_agents30_15;0;0;119.83
parallel_range4_agents30_18;1;2591;45.23
parallel_range4_agents30_14;1;112;0.58
parallel_range4_agents30_10;1;79;0.5
parallel_range4_agents30_16;1;760;8.9
