exp;success;longest_path;time
small_obstacles_range3_3d_agents30_11;1;104;7.15
small_obstacles_range3_3d_agents30_13;1;643;32.14
small_obstacles_range3_3d_agents30_0;1;220;15.08
small_obstacles_range3_3d_agents30_15;1;752;26.24
small_obstacles_range3_3d_agents30_18;1;180;8.56
small_obstacles_range3_3d_agents30_14;1;474;9.7
small_obstacles_range3_3d_agents30_1;1;267;15.05
small_obstacles_range3_3d_agents30_8;1;100;6.96
small_obstacles_range3_3d_agents30_5;1;341;13.29
small_obstacles_range3_3d_agents30_2;1;131;8.92
small_obstacles_range3_3d_agents30_17;1;209;9.11
small_obstacles_range3_3d_agents30_16;1;503;21.95
small_obstacles_range3_3d_agents30_4;1;359;9.88
small_obstacles_range3_3d_agents30_7;0;0;119.39
small_obstacles_range3_3d_agents30_3;1;501;17.32
small_obstacles_range3_3d_agents30_12;1;408;13.69
small_obstacles_range3_3d_agents30_19;1;507;20.14
small_obstacles_range3_3d_agents30_9;1;516;27.4
small_obstacles_range3_3d_agents30_10;1;323;14.82
small_obstacles_range3_3d_agents30_6;1;631;25.35
