exp;success;longest_path;time
offices_range1_agents125_13;1;1608;24.56
offices_range1_agents125_12;1;3431;60.55
offices_range1_agents125_7;1;6046;52.78
offices_range1_agents125_3;1;692;18.52
offices_range1_agents125_19;1;3724;76.46
offices_range1_agents125_6;0;0;108.51
offices_range1_agents125_2;1;1873;35.81
offices_range1_agents125_18;0;0;113.3
offices_range1_agents125_15;1;1319;24.29
offices_range1_agents125_10;1;2739;52.17
offices_range1_agents125_11;0;0;112.04
offices_range1_agents125_5;1;3349;67.92
offices_range1_agents125_0;1;1226;23.23
offices_range1_agents125_16;0;0;113.57
offices_range1_agents125_1;1;1217;23.2
offices_range1_agents125_17;1;7886;101.4
offices_range1_agents125_9;1;2346;27.68
offices_range1_agents125_14;1;1177;19.72
offices_range1_agents125_4;1;1990;36.32
offices_range1_agents125_8;1;2339;32.97
