exp;success;longest_path;time
small_obstacles_range3_3d_agents100_3;1;1058;37.29
small_obstacles_range3_3d_agents100_15;0;0;117.69
small_obstacles_range3_3d_agents100_0;1;574;23.08
small_obstacles_range3_3d_agents100_13;0;0;115.72
small_obstacles_range3_3d_agents100_6;1;505;53.64
small_obstacles_range3_3d_agents100_11;1;505;30.67
small_obstacles_range3_3d_agents100_14;1;586;24.95
small_obstacles_range3_3d_agents100_1;1;277;15.26
small_obstacles_range3_3d_agents100_7;0;0;116.37
small_obstacles_range3_3d_agents100_16;0;0;118.61
small_obstacles_range3_3d_agents100_17;0;0;116.65
small_obstacles_range3_3d_agents100_8;1;497;29.76
small_obstacles_range3_3d_agents100_5;1;302;10.35
small_obstacles_range3_3d_agents100_18;1;512;22.35
small_obstacles_range3_3d_agents100_12;0;0;116.8
small_obstacles_range3_3d_agents100_19;1;525;29.22
small_obstacles_range3_3d_agents100_4;1;521;105.48
small_obstacles_range3_3d_agents100_2;0;0;116.39
small_obstacles_range3_3d_agents100_10;0;0;116.0
small_obstacles_range3_3d_agents100_9;0;0;115.31
