exp;success;longest_path;time
parallel_range4_agents20_14;1;189;6.86
parallel_range4_agents20_1;0;0;119.99
parallel_range4_agents20_12;1;87;4.93
parallel_range4_agents20_7;1;101;3.96
parallel_range4_agents20_0;1;279;8.2
parallel_range4_agents20_19;1;54;2.75
parallel_range4_agents20_17;1;71;3.84
parallel_range4_agents20_3;1;68;3.31
parallel_range4_agents20_4;1;235;9.59
parallel_range4_agents20_15;1;182;4.2
parallel_range4_agents20_16;1;93;2.33
parallel_range4_agents20_9;1;106;5.5
parallel_range4_agents20_5;1;60;4.87
parallel_range4_agents20_13;1;63;1.8
parallel_range4_agents20_11;1;174;6.13
parallel_range4_agents20_6;1;225;3.67
parallel_range4_agents20_2;1;145;5.93
parallel_range4_agents20_8;1;138;4.25
parallel_range4_agents20_18;1;75;2.84
parallel_range4_agents20_10;1;57;1.99
