exp;success;longest_path;time
parallel_range4_agents175_0;1;1225;37.66
parallel_range4_agents175_13;0;0;119.41
parallel_range4_agents175_12;1;1136;52.28
parallel_range4_agents175_5;0;0;119.43
parallel_range4_agents175_9;1;967;34.59
parallel_range4_agents175_6;1;999;23.94
parallel_range4_agents175_15;1;2569;67.39
parallel_range4_agents175_19;1;2241;92.54
parallel_range4_agents175_18;1;1787;57.72
parallel_range4_agents175_4;1;722;42.0
parallel_range4_agents175_10;1;337;6.39
parallel_range4_agents175_7;1;2449;84.93
parallel_range4_agents175_1;0;0;119.44
parallel_range4_agents175_16;0;0;119.53
parallel_range4_agents175_3;0;0;119.3
parallel_range4_agents175_17;1;1467;83.43
parallel_range4_agents175_8;0;0;119.49
parallel_range4_agents175_2;1;1134;76.11
parallel_range4_agents175_14;0;0;119.09
parallel_range4_agents175_11;1;1211;41.16
