exp;success;longest_path;time
offices_range1_agents300_5;0;0;80.09
offices_range1_agents300_3;0;0;74.98
offices_range1_agents300_1;0;0;89.1
offices_range1_agents300_10;0;0;74.72
offices_range1_agents300_17;0;0;81.6
offices_range1_agents300_13;0;0;82.75
offices_range1_agents300_7;0;0;88.82
offices_range1_agents300_15;0;0;76.1
offices_range1_agents300_16;0;0;86.64
offices_range1_agents300_19;0;0;81.18
offices_range1_agents300_9;0;0;78.75
offices_range1_agents300_2;0;0;93.78
offices_range1_agents300_12;0;0;91.82
offices_range1_agents300_0;0;0;75.04
offices_range1_agents300_18;0;0;82.45
offices_range1_agents300_8;0;0;70.57
offices_range1_agents300_6;0;0;80.12
offices_range1_agents300_14;0;0;98.2
offices_range1_agents300_11;0;0;77.79
offices_range1_agents300_4;0;0;77.37
