exp;success;longest_path;time
pyramid_range3_3d_agents200_4;0;0;119.27
pyramid_range3_3d_agents200_7;1;151;11.95
pyramid_range3_3d_agents200_8;1;505;26.06
pyramid_range3_3d_agents200_17;1;997;44.73
pyramid_range3_3d_agents200_1;0;0;119.31
pyramid_range3_3d_agents200_3;1;506;17.24
pyramid_range3_3d_agents200_12;1;155;6.62
pyramid_range3_3d_agents200_14;1;1013;43.3
pyramid_range3_3d_agents200_10;0;0;119.45
pyramid_range3_3d_agents200_0;1;450;16.35
pyramid_range3_3d_agents200_16;1;335;13.38
pyramid_range3_3d_agents200_6;0;0;119.64
pyramid_range3_3d_agents200_13;1;1523;83.32
pyramid_range3_3d_agents200_18;1;394;11.89
pyramid_range3_3d_agents200_9;1;459;16.66
pyramid_range3_3d_agents200_5;1;507;106.33
pyramid_range3_3d_agents200_11;1;511;16.98
pyramid_range3_3d_agents200_15;0;0;119.57
pyramid_range3_3d_agents200_19;1;199;10.31
pyramid_range3_3d_agents200_2;0;0;119.42
