exp;success;longest_path;time
small_obstacles_range3_3d_agents20_9;1;510;5.86
small_obstacles_range3_3d_agents20_6;1;80;4.34
small_obstacles_range3_3d_agents20_17;1;103;4.36
small_obstacles_range3_3d_agents20_13;1;309;4.89
small_obstacles_range3_3d_agents20_5;1;191;4.83
small_obstacles_range3_3d_agents20_14;1;366;4.75
small_obstacles_range3_3d_agents20_19;1;87;4.3
small_obstacles_range3_3d_agents20_18;1;316;5.42
small_obstacles_range3_3d_agents20_10;1;136;4.59
small_obstacles_range3_3d_agents20_1;1;499;4.7
small_obstacles_range3_3d_agents20_16;1;216;4.8
small_obstacles_range3_3d_agents20_15;1;454;5.14
small_obstacles_range3_3d_agents20_8;1;192;4.51
small_obstacles_range3_3d_agents20_0;1;280;5.41
small_obstacles_range3_3d_agents20_4;1;123;4.35
small_obstacles_range3_3d_agents20_2;1;332;4.95
small_obstacles_range3_3d_agents20_12;1;413;4.98
small_obstacles_range3_3d_agents20_7;1;247;4.45
small_obstacles_range3_3d_agents20_11;1;1356;8.22
small_obstacles_range3_3d_agents20_3;1;249;4.66
