id ; Experiment ; nb_agents ; cost
0 ; small_obstacles_range3_3d_agents ; 2 ; 15.0
1 ; small_obstacles_range3_3d_agents ; 10 ; 18.0
2 ; small_obstacles_range3_3d_agents ; 2 ; 21.0
3 ; small_obstacles_range3_3d_agents ; 2 ; 23.0
4 ; small_obstacles_range3_3d_agents ; 2 ; 29.0
5 ; small_obstacles_range3_3d_agents ; 2 ; 31.0
6 ; small_obstacles_range3_3d_agents ; 5 ; 34.0
7 ; small_obstacles_range3_3d_agents ; 2 ; 38.0
8 ; small_obstacles_range3_3d_agents ; 2 ; 39.0
9 ; small_obstacles_range3_3d_agents ; 5 ; 39.0
10 ; small_obstacles_range3_3d_agents ; 2 ; 40.0
11 ; small_obstacles_range3_3d_agents ; 2 ; 40.0
12 ; small_obstacles_range3_3d_agents ; 5 ; 40.0
13 ; small_obstacles_range3_3d_agents ; 5 ; 40.0
14 ; small_obstacles_range3_3d_agents ; 2 ; 42.0
15 ; small_obstacles_range3_3d_agents ; 5 ; 42.0
16 ; small_obstacles_range3_3d_agents ; 2 ; 44.0
17 ; small_obstacles_range3_3d_agents ; 5 ; 44.0
18 ; small_obstacles_range3_3d_agents ; 5 ; 46.0
19 ; small_obstacles_range3_3d_agents ; 10 ; 46.0
20 ; small_obstacles_range3_3d_agents ; 2 ; 51.0
21 ; small_obstacles_range3_3d_agents ; 2 ; 52.0
22 ; small_obstacles_range3_3d_agents ; 2 ; 53.0
23 ; small_obstacles_range3_3d_agents ; 10 ; 53.0
24 ; small_obstacles_range3_3d_agents ; 2 ; 56.0
25 ; small_obstacles_range3_3d_agents ; 2 ; 58.0
26 ; small_obstacles_range3_3d_agents ; 2 ; 59.0
27 ; small_obstacles_range3_3d_agents ; 5 ; 59.0
28 ; small_obstacles_range3_3d_agents ; 2 ; 63.0
29 ; small_obstacles_range3_3d_agents ; 2 ; 65.0
30 ; small_obstacles_range3_3d_agents ; 5 ; 66.0
31 ; small_obstacles_range3_3d_agents ; 10 ; 70.0
32 ; small_obstacles_range3_3d_agents ; 2 ; 71.0
33 ; small_obstacles_range3_3d_agents ; 5 ; 72.0
34 ; small_obstacles_range3_3d_agents ; 10 ; 72.0
35 ; small_obstacles_range3_3d_agents ; 10 ; 75.0
36 ; small_obstacles_range3_3d_agents ; 10 ; 78.0
37 ; small_obstacles_range3_3d_agents ; 20 ; 80.0
38 ; small_obstacles_range3_3d_agents ; 5 ; 81.0
39 ; small_obstacles_range3_3d_agents ; 5 ; 82.0
40 ; small_obstacles_range3_3d_agents ; 5 ; 87.0
41 ; small_obstacles_range3_3d_agents ; 20 ; 87.0
42 ; small_obstacles_range3_3d_agents ; 5 ; 89.0
43 ; small_obstacles_range3_3d_agents ; 30 ; 100.0
44 ; small_obstacles_range3_3d_agents ; 20 ; 103.0
45 ; small_obstacles_range3_3d_agents ; 15 ; 104.0
46 ; small_obstacles_range3_3d_agents ; 30 ; 104.0
47 ; small_obstacles_range3_3d_agents ; 10 ; 110.0
48 ; small_obstacles_range3_3d_agents ; 80 ; 111.0
49 ; small_obstacles_range3_3d_agents ; 5 ; 115.0
50 ; small_obstacles_range3_3d_agents ; 125 ; 115.0
51 ; small_obstacles_range3_3d_agents ; 15 ; 116.0
52 ; small_obstacles_range3_3d_agents ; 100 ; 116.0
53 ; small_obstacles_range3_3d_agents ; 5 ; 119.0
54 ; small_obstacles_range3_3d_agents ; 40 ; 122.0
55 ; small_obstacles_range3_3d_agents ; 10 ; 123.0
56 ; small_obstacles_range3_3d_agents ; 20 ; 123.0
57 ; small_obstacles_range3_3d_agents ; 15 ; 125.0
58 ; small_obstacles_range3_3d_agents ; 5 ; 130.0
59 ; small_obstacles_range3_3d_agents ; 5 ; 135.0
60 ; small_obstacles_range3_3d_agents ; 20 ; 136.0
61 ; small_obstacles_range3_3d_agents ; 10 ; 138.0
62 ; small_obstacles_range3_3d_agents ; 20 ; 138.0
63 ; small_obstacles_range3_3d_agents ; 100 ; 139.0
64 ; small_obstacles_range3_3d_agents ; 60 ; 149.0
65 ; small_obstacles_range3_3d_agents ; 15 ; 152.0
66 ; small_obstacles_range3_3d_agents ; 20 ; 154.0
67 ; small_obstacles_range3_3d_agents ; 5 ; 159.0
68 ; small_obstacles_range3_3d_agents ; 10 ; 160.0
69 ; small_obstacles_range3_3d_agents ; 10 ; 168.0
70 ; small_obstacles_range3_3d_agents ; 40 ; 169.0
71 ; small_obstacles_range3_3d_agents ; 15 ; 176.0
72 ; small_obstacles_range3_3d_agents ; 30 ; 180.0
73 ; small_obstacles_range3_3d_agents ; 30 ; 183.0
