id ; Experiment ; nb_agents ; cost
111 ; parallel_range4_agents ; 40 ; 167.0
112 ; parallel_range4_agents ; 40 ; 168.0
113 ; parallel_range4_agents ; 30 ; 175.0
114 ; parallel_range4_agents ; 125 ; 178.0
115 ; parallel_range4_agents ; 100 ; 179.0
116 ; parallel_range4_agents ; 20 ; 180.0
117 ; parallel_range4_agents ; 20 ; 183.0
118 ; parallel_range4_agents ; 30 ; 183.0
119 ; parallel_range4_agents ; 50 ; 186.0
120 ; parallel_range4_agents ; 40 ; 197.0
121 ; parallel_range4_agents ; 30 ; 199.0
122 ; parallel_range4_agents ; 50 ; 199.0
123 ; parallel_range4_agents ; 15 ; 200.0
124 ; parallel_range4_agents ; 60 ; 212.0
125 ; parallel_range4_agents ; 30 ; 215.0
126 ; parallel_range4_agents ; 20 ; 222.0
127 ; parallel_range4_agents ; 50 ; 224.0
128 ; parallel_range4_agents ; 40 ; 229.0
129 ; parallel_range4_agents ; 50 ; 230.0
130 ; parallel_range4_agents ; 15 ; 233.0
131 ; parallel_range4_agents ; 40 ; 233.0
132 ; parallel_range4_agents ; 40 ; 234.0
133 ; parallel_range4_agents ; 80 ; 236.0
134 ; parallel_range4_agents ; 50 ; 239.0
135 ; parallel_range4_agents ; 40 ; 246.0
136 ; parallel_range4_agents ; 125 ; 249.0
137 ; parallel_range4_agents ; 30 ; 250.0
138 ; parallel_range4_agents ; 80 ; 251.0
139 ; parallel_range4_agents ; 60 ; 252.0
140 ; parallel_range4_agents ; 60 ; 255.0
141 ; parallel_range4_agents ; 30 ; 260.0
142 ; parallel_range4_agents ; 80 ; 262.0
143 ; parallel_range4_agents ; 40 ; 264.0
144 ; parallel_range4_agents ; 100 ; 266.0
145 ; parallel_range4_agents ; 40 ; 268.0
146 ; parallel_range4_agents ; 40 ; 269.0
147 ; parallel_range4_agents ; 60 ; 269.0
148 ; parallel_range4_agents ; 60 ; 279.0
149 ; parallel_range4_agents ; 20 ; 280.0
150 ; parallel_range4_agents ; 15 ; 283.0
151 ; parallel_range4_agents ; 15 ; 285.0
152 ; parallel_range4_agents ; 20 ; 285.0
153 ; parallel_range4_agents ; 50 ; 307.0
154 ; parallel_range4_agents ; 100 ; 313.0
155 ; parallel_range4_agents ; 60 ; 317.0
156 ; parallel_range4_agents ; 50 ; 328.0
157 ; parallel_range4_agents ; 40 ; 350.0
158 ; parallel_range4_agents ; 30 ; 360.0
159 ; parallel_range4_agents ; 175 ; 362.0
160 ; parallel_range4_agents ; 50 ; 371.0
161 ; parallel_range4_agents ; 50 ; 382.0
162 ; parallel_range4_agents ; 50 ; 389.0
163 ; parallel_range4_agents ; 60 ; 397.0
164 ; parallel_range4_agents ; 30 ; 403.0
165 ; parallel_range4_agents ; 60 ; 414.0
166 ; parallel_range4_agents ; 60 ; 416.0
167 ; parallel_range4_agents ; 100 ; 417.0
168 ; parallel_range4_agents ; 60 ; 420.0
169 ; parallel_range4_agents ; 50 ; 435.0
170 ; parallel_range4_agents ; 100 ; 436.0
171 ; parallel_range4_agents ; 60 ; 463.0
172 ; parallel_range4_agents ; 60 ; 465.0
173 ; parallel_range4_agents ; 125 ; 474.0
174 ; parallel_range4_agents ; 40 ; 483.0
175 ; parallel_range4_agents ; 50 ; 486.0
176 ; parallel_range4_agents ; 125 ; 491.0
177 ; parallel_range4_agents ; 125 ; 498.0
178 ; parallel_range4_agents ; 40 ; 509.0
179 ; parallel_range4_agents ; 60 ; 534.0
180 ; parallel_range4_agents ; 60 ; 540.0
181 ; parallel_range4_agents ; 125 ; 548.0
182 ; parallel_range4_agents ; 100 ; 575.0
183 ; parallel_range4_agents ; 60 ; 578.0
184 ; parallel_range4_agents ; 60 ; 604.0
185 ; parallel_range4_agents ; 50 ; 606.0
186 ; parallel_range4_agents ; 125 ; 615.0
187 ; parallel_range4_agents ; 100 ; 654.0
188 ; parallel_range4_agents ; 40 ; 687.0
189 ; parallel_range4_agents ; 30 ; 700.0
190 ; parallel_range4_agents ; 80 ; 760.0
191 ; parallel_range4_agents ; 60 ; 772.0
192 ; parallel_range4_agents ; 50 ; 812.0
193 ; parallel_range4_agents ; 50 ; 876.0
194 ; parallel_range4_agents ; 100 ; 899.0
195 ; parallel_range4_agents ; 100 ; 914.0
196 ; parallel_range4_agents ; 80 ; 1005.0
197 ; parallel_range4_agents ; 50 ; 1024.0
198 ; parallel_range4_agents ; 80 ; 1250.0
199 ; parallel_range4_agents ; 80 ; 1294.0
200 ; parallel_range4_agents ; 80 ; 1381.0
201 ; parallel_range4_agents ; 40 ; 1484.0
202 ; parallel_range4_agents ; 40 ; 1723.0
